ID,"	Nombre2",LATITUD,LONGITUD,ELEVACION,Fecha,AÑO,MES_COLECTADO,"	d2H","	d18O",H3,H3 Error,d-excess,TIPO,CLASE,PAIS,FUENTE
IDEAM_RNI_Bolivia42353,Bolivia,5.328269444,-75.112,1809,15/12/2015,2015,12,-15.12,-3.239,,,10.8,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Bolivia42384,Bolivia,5.328269444,-75.112,1809,15/01/2016,2016,1,2.02,-1.311,,,12.5,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Bolivia42415,Bolivia,5.328269444,-75.112,1809,15/02/2016,2016,2,2.38,-1.23,,,12.2,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Bolivia42444,Bolivia,5.328269444,-75.112,1809,15/03/2016,2016,3,-4.27,-2.158,,,13,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Bolivia42475,Bolivia,5.328269444,-75.112,1809,15/04/2016,2016,4,-50.41,-7.558,,,10.1,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Bolivia42505,Bolivia,5.328269444,-75.112,1809,15/05/2016,2016,5,-91.44,-12.559,,,9,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Bolivia42536,Bolivia,5.328269444,-75.112,1809,15/06/2016,2016,6,-58.58,-8.461,,,9.1,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Bolivia42566,Bolivia,5.328269444,-75.112,1809,15/07/2016,2016,7,-54.71,-8.237,,,11.2,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Bolivia42597,Bolivia,5.328269444,-75.112,1809,15/08/2016,2016,8,-32.41,-5.558,,,12.1,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Bolivia42628,Bolivia,5.328269444,-75.112,1809,15/09/2016,2016,9,-49.98,-7.86,,,12.9,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Bolivia42658,Bolivia,5.328269444,-75.112,1809,15/10/2016,2016,10,-72.13,-10.416,,,11.2,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Bolivia42719,Bolivia,5.328269444,-75.112,1809,15/12/2016,2016,12,-61.02,-8.977,,,10.8,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Carmen de Tonchalá42640,Carmen de Tonchalá,7.846694,-72.566667,307,27/09/2016,2016,9,-35.4,-5.04,,,4.9,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Carmen de Tonchalá42658,Carmen de Tonchalá,7.846694,-72.566667,307,15/10/2016,2016,10,-29.8,-4.78,,,8.4,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Carmen de Tonchalá42689,Carmen de Tonchalá,7.846694,-72.566667,307,15/11/2016,2016,11,-31.8,-4.06,,,0.7,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Carmen de Tonchalá42719,Carmen de Tonchalá,7.846694,-72.566667,307,15/12/2016,2016,12,-16.2,-2.91,,,7.1,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Carmen de Tonchalá42750,Carmen de Tonchalá,7.846694,-72.566667,307,15/01/2017,2017,1,-14.7,-2.45,,,4.9,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Carmen de Tonchalá42781,Carmen de Tonchalá,7.846694,-72.566667,307,15/02/2017,2017,2,15.7,1.02,,,7.5,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Carmen de Tonchalá42809,Carmen de Tonchalá,7.846694,-72.566667,307,15/03/2017,2017,3,-16.7,-2.75,,,5.3,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Carmen de Tonchalá42840,Carmen de Tonchalá,7.846694,-72.566667,307,15/04/2017,2017,4,-27.5,-3.6,,,1.3,Lluvia,Lluvia,CO,IDEAM -RNI
IDEAM_RNI_Carmen de Tonchalá42870,Carmen de Tonchalá,7.846694,-72.566667,307,15/05/2017,2017,5,-57.5,-7.5,,,2.5,Lluvia,Lluvia,CO,IDEAM -RNI
