ID,Nombre2,PAIS,FUENTE,Fecha,HORA,MES_COLECTADO,ELEVACION,LATITUD,LONGITUD,TIPO,CLASE,COMENTARIOS,Conductivity,d18O,d2H,d-excess,H3,Precipitation,TempAir,TempWater,Vp
00131624-aed5-4f63-a782-b640e9ccdd47,BOGOTA,CO,GNIP - Monthly,15/11/2019,0:00:00,11,2547,4.7,-74.13,Precipitation,Rain,,,-8.92,-59.2,-50.28,1.83,89.9,14.3,,12.4
001aaf43-a3e9-4e6d-937a-9df283c31578,MANAUS PIRACICABA,BR,GNIP - Monthly,15/09/1978,0:00:00,9,72,-3.12,-60.02,Precipitation,Rain,amount weighted monthly average calculated using daily data,,-1.6,2,3.6,,,,,
0028ae2d-3826-4b70-ade7-158fc3c736b2,PIRACICABA,BR,GNIP - Events,15/02/1990,0:00:00,2,545,-22.71,-46.46583333,Precipitation,Rain,,,-2.58,-9.3,-6.72,,,,,
00456ccd-93c6-48de-aca1-705308737d9f,GALAPAGOS (CDRS),EC,GNIP - Events,8/6/2015,6:00:00,6,2,-0.743055556,-90.30222222,Precipitation,Rain,,,-1.103028299,-3.34135762,-2.238329321,,0.6,,,
004a614d-f600-4774-a57e-9ed1eb9e2359,LEBRIJA - Majadas,CO,GNIR - Time series,6/6/2005,0:00:00,6,760,7.159166667,-73.10083333,Surface waters,Surface Water - flowing,,135,-9.78,-66.2,-56.42,,,,21.7,
005ff0e5-4d3c-4b3b-8b12-95a9f9ad3a1e,STA MARIA DA SERRA,BR,GNIP - Events,1/4/1998,0:00:00,4,488,-22.66416667,-48.06,Precipitation,Rain,,,-7.94,-55.88,-47.94,,8.2,,,
006304bd-37fb-40f1-8dfc-0681f9dc2a47,STA MARIA DA SERRA,BR,GNIP - Events,3/8/1998,0:00:00,8,488,-22.66416667,-48.06,Precipitation,Rain,,,0.28,16.37,16.09,,4.7,,,
00643c58-4fce-4376-9276-1588eef49705,JAGUARI - Morungaba,BR,GNIR - Time series,28/01/1997,0:00:00,1,755,-22.85084444,-46.78061389,Surface waters,Surface Water - flowing,3d-009-27                ,,-6.27,-45.46,-39.19,,,,,
006a8177-80d1-49af-818d-d10f038193ee,MANAUS,BR,GNIP - Events,15/04/1990,0:00:00,4,72,-3.12,-60.02,Precipitation,Rain,,,-5.15,-24.4,-19.25,,74,,,
007c56c5-9593-457d-8ffb-2e50e3b01ac7,GALAPAGOS (CDRS),EC,GNIP - Events,24/05/2015,6:00:00,5,2,-0.743055556,-90.30222222,Precipitation,Rain,,,1.091261686,10.89055841,9.799296725,,0.5,,,
00842f71-ae4a-45c3-afa7-53a36182894a,LEBRIJA - La Esperanza,CO,GNIR - Time series,24/07/2005,0:00:00,7,1029,7.069166667,-73.07222222,Surface waters,Surface Water - flowing,,73.4,-7.99,-50.5,-42.51,,,,20.5,
00877ca3-e276-42b4-be2d-aba12d128982,SAO GABRIEL,BR,GNIP - Monthly,15/12/1977,0:00:00,12,87,-0.13,-67.08,Precipitation,Rain,,,-1.72,-2.7,-0.98,9.2,341,26.2,,28.9
